ID,NAME,ADRESS,CITY,STATE,POSTAL,EMAIL,PHONE,WEBSITE,LAT,LNG
AAE001,CONELY COMPANY,4000 SOUTH WEST TEMPLE,SALT LAKE CITY,UT,84107,conelyco@conelyco.com,801-266-6452,,40.657894,-111.883531
AAF001,CONARD PLUMBING S.A.,8701 E. 107TH ST.,KANSAS CITY,MO,64134,,816-761-8666,,38.930961,-94.495483
AAG001,COMMUNITY PLUMBING SUPPLY,201 WEST ROUTE 22,Springfield,NJ,7081,cps22e@gmail.com,973-376-2140,,40.698551,-74.332848
AAH001,COMPLETE POOL  & SPA,2829 PERRY ST #4,MADISON,WI,53713,,608-274-7946,,43.037905,-89.39143
AAI001,COOL-LINES USA,61-02 MAURICE AVE.,MASPETH,NY,11378,,718-205-3573,,40.724738,-73.905137
AAJ001,CONSUMERS KITCHENS & BATHS,717 BROADWAY AVE.,HOLBROOK,NY,11741,,631 563-3200,,40.797268,-73.072068
AAK001,CORONA PLBG SUPPLY CO,2601 TILLER ST.,Fort Worth,TX,76107,miker@morsco.com,817-336-0353,,32.739831,-97.383069
AAL001,CORNELIA'S,982-C S. DEANZA BLVD.,SAN JOSE,CA,95129,nicki@cornelias.com,408-973-8486,www.cornelias.com,37.305834,-122.001159
AAM001,CONTRACTOR BUILDING SUPPLY,1310 GREENE STREET,MARIETTA,OH,45750,lori3523@att.net,740-374-4486,,39.430769,-81.43445
AAO001,CONSOLIDATED HUNTER SA,334 GODFREY AVENUE,CELINA,OH,45822,,419-586-3273,,40.551075,-84.593411
AAP001,CONSUMERS PLUMBING & HEATING,23233 AURORA ROAD,Bedford Heights,OH,44146,,440-232-8400,,41.386036,-81.524828
AAQ001,COLORADO KITCHENS LD.,2136 AIRPORT RD.,RIFLE,CO,81650,ckl@sopris.net,970-625-1589,http://downvalleydesigncenter.com,39.71652,-108.013527
AAR001,COVE PLUMBING SUPPLY,26 MORRIS AVE.,GLEN COVE,NY,11542,coveplumbingsup@aol.com,516-676-6300,,40.867396,-73.627739
AAS001,COWLES PLBG. S.A.,3-11 Bellerose Dr.  Unit 355,ST ALBERTA,CD,T8N5C9,,780-458-3641,,26.225919,-98.211023
AAV001,CRESCENT& SPRAGUE SUPPLY CO,1100 GREENE ST,MARIETTA,OH,45750,ccanfield@crescentsprague.com,740-373-2331,,39.430769,-81.43445
AAW001,COLUMBIA,5730 COLUMBIA PARKWAY,ROCKFORD,IL,61125,,773-927-6600,,42.238291,-89.013747
AAX001,COUNTY SUPPLY,1035 WESTFORD STREET,LOWELL,MA,1851,,978-458-3200,,42.633425,-71.316172
AAY001,CENTRAL AIR COND. SA,3435 WEST HARRY,WICHITA,KS,67213,,316-945-6785,,37.668186,-97.362752
AB001,WALLINGTON PLBG.,21  PASSAIC AVE,FAIRFIELD,NJ,7004,brianbogush@wallingtonplumbingsupply.com,973-244-0002,www.wallingtonplumbingsupply.com,40.88371,-74.305982
AB002,WALLINGTON PLBG.,116 WALLINGTON AVE,WALLINGTON,NJ,7057,brianbogush@wallingtonplumbingsupply.com,973-244-1404,www.wallingtonplumbingsupply.com,40.853155,-74.113754
AB004,WALLINGTON PLBG.,2396 HAMBURG TURNPIKE,WAYNE,NJ,7470,markvan@wallingtonplumbingsupply.com,973-616-4100,www.wallingtonplumbingsupply.com,40.949172,-74.23768
ABC001,D & D SUPPLY INC.,11309 FOLSOM BLVD,RANCHO CORDOVA,CA,95742,,916-638-8983,WWW.DDSUPPLY.NET,38.585855,-121.217204
ABD001,DKM ASSOCIATES S.A,758 KAPAHULU AVE. #450,HONOLULU,HI,96816,,808-366-6611,,21.282669,-157.796215
ABE001,D.T. PLBG SUPY**** DO NOT SELL,104 4TH AVE.,BROOKLYN,NY,11217,,718-243-2222,*OFF UPA 10/6/99,40.68254,-73.979472
ABL001,DAVE FILAN PLBG. & HTG. S.A.,1816 GARDEN AVE.,CHERRY HILL,NJ,8003,,856-751-9250,,39.934835,-75.030726
ABM001,DAKOTA WHOLESALE PLG,1012 SOUTH 10TH AVE,SIOUX FALLS,SD,57104,hmaoffice@dakotawholesale.com,605-334-9600,www.dakotawholesale.com,43.578374,-96.721868
ABM002,HOME REMODELING CENTER (DAKOTA,910 EAST 10TH STREET,SIOUX FALLS,SD,57104,hmsoffice@dakotawholesale.com,605-336-0316,www.handymanhome.com,43.578374,-96.721868
ABM003,HOME REMODELING CENTER (DAKOTA,3460 E. GORDON DR.,SIOUX CITY,IA,51105,hmsoffice@dakotawholesale.com,712-276-0248,www.handymanhome.com,42.507116,-96.373041
ABM004,HOME REMODELING CENTER (DAKOTA,501 WEST GATE BLVD.,LINCOLN,NE,68528,hmloffice@dakotawholesale.com,402-474-0550,www.handymanhome.com,40.821207,-96.804432
ABN001,DAVID'S PLUMBING SERVICE S.A.,1000 N.W. 2ND AVE.,BOCA RATON,FL,33432,CELL NO. 561-445-1197,561-362-9979,,26.347448,-80.085059
ABO001,DAELIM TRADING COMPANY,6TH FLOOR DAELIM B/D,SEPDAEMUN-GU SEOUL,,120-712,,416-631-8284,,39.390897,-99.066067
ABR001,DECOREX***out of business***,5201 N.W. 77TH AVENUE,Miami,FL,33166,,305-591-1616,,25.824412,-80.307036
ABS001,DECO-BRASS INC.-DO NOT SELL,18919 VENTURA BLVD.,TARZANA,CA,91356,mark@decobrass.com,818-345-5481,www.decobrass.com,34.160863,-118.546878
ABS002,DECO-BRASS INC.-DO NOT SELL,9200 GAZETTE AVENUE UNIT B,CHATSWORTH,CA,91311,mark@decobrass.com,818-345-5481,www.decobrass.com,34.267262,-118.595523
ABT001,ROY DORON,93 LAMERCHVE STREET,RAMART-HASHARON,,47226,,972-3-540-5638,,39.283201,-85.868454
ABU001,DECORATIVE TILE & BATH INC.,18416 VENTURA BLVD.,TARZANA,CA,91356,,818-344-3536,,34.160863,-118.546878
ABV001,DECOWARE,944 MC DONALD AVE.,BROOKLYN,NY,11218,info@decow.com,718-871-1212,,40.643629,-73.976298
ABW001,DESIGN HARDWARE,6053 WEST THIRD STREET,Los Angeles,CA,90036,autto@designhardware.com,323-930-1330,,34.069624,-118.349681
ABY001,DICK'S TUB & SPA SERVICE,10 WASHINGTON AVENUE #105,SCARBOROUGH,ME,4074,,207-885-8677,,43.596226,-70.330056
ABZ001,DELAWARE PLUMBING SUPPLY,2309 N DUPONT HIGHWAY,NEW CASTLE,DE,19720-0709,,302-656-5437,,39.6657,-75.599195
AC001,ACTIVE PLUMBING SUPPLY CO.,216 RICHMOND STREET,PAINESVILLE,OH,44077,Jeanetter@activeplumbing.com,440-352-4411,www.activeplumbing.com,41.706495,-81.232422
AC002,ACTIVE PLUMBING SUPPLY CO.,38033 ELM ST.,WILLOUGHBY,OH,44094,Jeanetter@activeplumbing.com,440-953-1532,www.activeplumbing.com,41.619714,-81.393234
AC003,ACTIVE PLUMBING SUPPLY CO.,5331 COMMERCE PARKWAY W,PARMA,OH,44130,Jeanetter@activeplumbing.com,216-459-2700,www.activeplumbing.com,41.377411,-81.78215
AC004,ACTIVE PLUMBING SUPPLY CO.,1220 LAKE AVE,ASHTABULA,OH,44004,Jeanetter@activeplumbing.com,440-964-7575,www.activeplumbing.com,41.86216,-80.790044
AC005,ACTIVE PLUMBING SUPPLY CO.,9890 E. WASHINGTON ST.,BAINBRIDGE,OH,44023,Jeanetter@activeplumbing.com,440-543-2233,www.activeplumbing.com,41.388085,-81.305472
AC006,ACTIVE PLUMBING SUPPLY CO.,60 PROSPECT STREET,PAINESVILLE,OH,44077,Jeanetter@activeplumbing.com,440-352-4411,www.activeplumbing.com,41.706495,-81.232422
AC007,ACTIVE PLUMBING SUPPLY CO.,1756 MOORE ROAD,AVON,OH,44011,brendas@activeplumbing.com,440-352-4411,www.activeplumbing.com,41.449104,-82.019015
AC008,ACTIVE PLUMBING SUPPLY CO.,9890 E. WASHINGTON ST.,CHAGRIN FALLS,OH,44023,brendas@activeplumbing.com,440-352-4411,www.activeplumbing.com,41.388085,-81.305472
ACA001,DELTA MECH CONTRACTORS,6107 101A AVENUE,EDMONTON ALBERTA,CD,T6A 0L9,,780-440-4122,,53.54315,-113.48588
ACD001,DESERT IND. SUPPLY,44957 YUCCA AVE.,LANCASTER,CA,93534,,661-948-8457,,34.700538,-118.149832
ACD002,DESERT IND. SUPPLY,20665 SANTA CLARA ST. UNIT B,CANYON COUNTRY,CA,91351,,661-251-6420,,34.427178,-118.470771
ACE001,DESERT ISLE OF P.S. RESORT,2555 E. PALM CANYON DR.,Palm Springs,CA,92264,,760-327-8469,WWW.DESERTISLERESORT.COM,33.79072,-116.515891
ACF001,DESERT INN SHERATON HOTEL,3145 LAS VEGAS BLVD. S.,LAS VEGAS,NV,89109,,702-733-4444,,36.122434,-115.166437
ACG001,DESIGN FORE YOU,1218 E. HILLCREST RD.,Mobile,AL,36695,,,,30.642121,-88.24971
ACH001,DESIGNER ACCESSORIES CORP.,4 ROSE ST,OCEANSIDE,NY,11572,,516-678-2474,,40.635636,-73.637997
ACI001,DESIGN STUDIO/ GHEZA GROUP LLC,1925 STATE STREET,Santa Barbara,CA,93101,nancy@sbdesignstudio.com,805-563-2003,,34.419968,-119.707226
ACJ001,THE BATH STUDIO,2410 SAN RAMON VALLEY BLVD,SAN RAMON,CA,94583,julie.turner@thebathstudio.com,925-735-1400,,37.755754,-121.963415
ACK001,DAVIS SALES GROUP,27596 DETROIT ROAD,WESTLAKE,OH,44145,davisgroupinc@ameritech.net,440-871-2827,,41.45396,-81.926519
ACL001,DAYLIGHT DESIGNS,800 HWY 290 W STE B100,Dripping Springs,TX,78620,,512-858-2292,,30.223679,-98.119536
ACM001,DEUTCHMAN PLUMBING & HEATING,2901 S. FIRST ST.,AUSTIN,TX,78704,,512-443-1673,,30.243217,-97.76448
ACN001,DO-IT-UR-SELF PLBG. & HTG.,3100 BRIGHTON BLVD.,DENVER,CO,80216,monica@plumbdummy.com,303-297-0455,www.plumbdummy.com,39.784024,-104.95763
ACO001,THE DOLINER GROUP,13900 SW 104TH AVENUE,MIAMI,FL,33176,doliner@bellsouth.net,305-255-0041,,25.657821,-80.36011
ACR001,DORLAND PLUMBING & HEATING,R.R. #2,INGARSOLL ONTARIO,ON,N5C 3J5,,519-485-4807,,43.061759,-80.888837
ACS001,DOWNS PLUMBING CO. SA,5840 MULDOON ROAD,PENSACOLA,FL,32526,,850-453-6954,,30.49124,-87.331998
ACT001,DOUBLE K SALES COMPANY,3912 EAST ROESER ROAD,PHOENIX,AZ,85040,doubleksales@qwest.net,602-426-9147,,33.404321,-112.026569
ACU001,DON MILLER & SON,1945 REDONDO AVENUE,SIGNAL HILL,CA,90755,bobo@dmsps.com,562-597-7708,,33.802585,-118.168005
ACW001,DUGAN SUPPLY CO.,9 GRAF ROAD,NEWBURRY PORT,MA,1950,,508-462-6656,www.duggansupply.com,46.72451,31.004789
ACX001,DRISCOLL SUPPLY CO,45 POND PARK ROAD,HINGHAM,MA,2043,,781-749-8120,,42.241767,-70.889768
ACY001,DSKB - PLUMBING & TILE,595 S. BROADWAY SUITE 126E,DENVER,CO,80209,mark@dskb.com,303-744-9189,,39.706246,-104.965413
ACZ001,DIVERSIFIED PLUMBING - SA,637 CAPSHAW ROAD,Madison,AL,35757,,256-337-2667,,34.784712,-86.746531
ADA001,DENNIE MILLER PLUMBING INC,17860 DURRANCE RD.,NORTH FORT MYERS,FL,33917,,239-656-6003,,26.72315,-81.853582
ADB001,DURO SUPPLY,801 S. HENRY STREET,BAY CITY,MI,48706,janet@durosupply.com,517-894-2811,,43.603335,-83.937881
ADD001,DURANGO STONE & BATH DESIGN,1145 S. CAMINO DEL RIO #105,DURANGO,CO,81303,,970-382-0762,,37.172158,-107.873843
ADE001,DUTTON-LAINSON COMPANY,451 WEST 2ND ST,HASTINGS,NE,68902,,402-462-4141,,40.586096,-98.386151
ADF001,DAN CONNOLLY,237 WOODLAND AVE.,RIVER EDGE,NJ,7661,dancon222@yahoo.com,201-986-0030,,40.92871,-74.039862
ADG001,E-Z PLUMBING CO. INC,400 LINCOLN ST.,VERONA,WI,53593,SCOTT@EZPLUMBINGCOINC.COM,608-848-3900,,42.994687,-89.566804
ADH001,E. BEST PLUMBING & HEATING,P.O. BOX 3426,QUINCY,IL,62301,,217-223-3184,,39.931363,-91.389288
ADI001,EAST ALABAMA MEDICAL CENTER,1171 GATEWOOD DR BLDG 101,AUBURN,AL,36830,,334-887-5666,,32.573994,-85.475678
ADJ001,EASTER & SONS SUPPLY,351 E. LOUISIANA,MC KINNEY,TX,75067,,972-562-4996,,33.019748,-97.006463
ADK001,EAST BRUNSWICK SUPPLY,413 HIGHWAY 18,E. BRUNSWICK,NJ,8816,eastbrunswicksupply@comcast.net,732-254-1015,,40.427884,-74.415984
ADL001,ECONOMY SUPPLY,204 HARRISON AVENUE,HARRISON,NJ,7029,,201-483-6223,,40.74649,-74.156255
ADM001,ECONOMY PLUMBING,211 EAST 43RD STREET,NEW YORK,NY,10017,,212-682-2716,,40.752313,-73.972589
ADN001,E R B CO. INC.,1400 SENECA ST.,Buffalo,NY,14240-1269,,716-825-1400,www.erbco.com,42.887691,-78.879374
ADO001,TRILOGY MECHANICAL SA,17628 61ST AVE,EDMONTON ALBERTA,AB,T6M 1H6,trilogymechanical@shaw.ca,780-993-7524,,53.496085,-113.626428
ADP001,E.M.S. PLUMBING,360 1/2 E. MIDLOTHIAN BLVD,YOUNGSTOWN,OH,44507,EMS_PLUMBING@YAHOO.COM,330-788-3976,,41.074179,-80.655798
ADS001,ECONOMY SUPPLY CO,632 EAST HALEY STREET,Santa Barbara,CA,93103,,805-965-4319,,34.432083,-119.685759
ADT001,EDELMAN PLBG SUPPLY INC.,26201 RICHMOND ROAD,BEDFORD,OH,44146,mail@edelmanhome.com,216-591-0150,www.edelmanplumbing.com,41.386036,-81.524828
ADT002,EDELMAN PLBG SUPPLY INC.,975 CROCKER ROAD,WESTLAKE,OH,44145-1030,paula@edelmanplumbing.com,440-808-0315,www.edelmanplumbing.com,41.45396,-81.926519
ADU001,EL CAJON PLBG. & HEATING,1655 N. MAGNOLIA,EL CAJON,CA,92020,ecph@earthlink.net,619-449-7300,,32.795204,-116.971677
ADV001,ELEGANT ADDITIONS,2426 BARTLETT # 3,HOUSTON,TX,77098,,713-522-0088,,29.734355,-95.414632
ADW001,ELLSWORTH SUPPLY CO. INC.,P.O. BOX E,DORCHESTER,MA,2122,,617-825-5522,,42.297321,-71.074495
ADX001,ETOPA,P.O. BOX 849,HAMMOND,LA,70404,,800-454-0128,,30.504092,-90.461362
ADY001,EMPIRE BATH & KITCHEN,9225 RIVER ROAD SUITE 6,MARCY,NY,13403,,315-733-0408,,43.161302,-75.273947
AE001,SMOLKA COMPANY,450  TIMPSON PLACE,BRONX,NY,10455,,718-585-5515,,40.814725,-73.907401
AE002,SMOLKA COMPANY,231-233 E. 33RD ST.,NEW YORK,NY,10016,,212-686-2300,,40.745614,-73.977916
AEA001,ENGINEERING & EQUIPMENT,1336 FLORIDA AVE,PANAMA CITY,FL,32401-2221,gretchenp@e-esupply.com,850-769-7641,,30.171985,-85.66938
AEA002,ENGINEERING & EQUIPMENT,4491 RIVER ROAD,COLUMBUS,GA,31904-6539,michellej@e-esupply.com,706-576-4584,,32.528203,-84.98033
AEB001,ENVIROTHERM INC.,5680 S. 300 W.,SALT LAKE CITY,UT,84107,,801-262-8833,,40.657894,-111.883531
AEC001,MIKE ERNESTO SA,2117 OLD LANCASTER PIKE,REINHOLDS,PA,17569,,610-775-1628,,40.267116,-76.093573
AED001,EHRHARDT BROTHERS SA,5552 CEDAR LANE,COLUMBIA,MD,21044,,410-997-8414,,39.210791,-76.881075
AEE001,EIGEN SUPPLIERS,236 WEST 17TH ST.,NEW YORK,NY,10011,,212-255-1200,,40.741625,-74.000479
AEF001,EUROCONCEPTS INC.,8687 MELROSE AVE. SUITE B121,W. HOLLYWOOD,CA,90069,gina@euroconcepts.com,310-652-3472,,34.093412,-118.381373
AEH001,EVANS PRODUCTS CO. INC.,6280 S. VALLEY VIEW # 224,Las Vegas,NV,89118,,702-617-0835,,36.079168,-115.211443
AEI001,EURO BATH & TILE,475 SOUTH BROADWAY,DENVER,CO,80209,,303-298-8453,,39.706246,-104.965413
AEI002,EURO BATH & TILE,1472 W. MAPLE AVENUE UNIT B,DENVER,CO,80223,,303-298-8453,,39.698081,-105.001615
AEJ001,METRO KITCHEN & BATH SUPPLY,398 W. ARMY TRAIL RD.,BLOOMINGDALE,IL,60108,,630-307-0200,,41.94947,-88.090644
AEK001,EXCLUSIVE KITCHEN AND BATH,1224 W HILLSDALE BLVD,SAN MATEO,CA,94403,,650-347-9100,,37.538901,-122.302625
AEL001,EURO DESIGN CENTER,11054 W. PICO BLVD. #101,LOS ANGELES,CA,90064,eurodesignctr@aol.com,310-481-9111,,34.035932,-118.426899
AEN001,FRESNO DISTRIBUTING,2055 E. MCKINLEY,FRESNO,CA,93703,will.fresnodward@hotmail.com,559-442-8800,,36.768948,-119.763112
AEP001,FW SUPPLY L.L.C.,3615 N.W. 115 AVE,MIAMI,FL,33178,sergiom@fwsupply.com,305-406-0026,,25.843659,-80.386363
AES001,F.A. MC GONEGAL,3619 Jefferson Davis Hwy,STAFFORD,VA,22554,,703-532-2288,,38.442333,-77.395235
AF001,YAUN CO.INC.,204 LIBERTY STREET,PENN YAN,NY,14527,,315-536-4495,WWW.YAUNCO.COM,42.662294,-77.062296
AF002,YAUN CO.INC.,17 COMMERCIAL AVENUE,ALBANY,NY,12205,,518-438-6433,www.yaunco.com,42.712719,-73.824203
AF003,YAUN C0. INC.,135 N CHESTNUT STREET,NEW PALTZ,NY,12561,,845-256-6400,www.yaunco.com,41.74664,-74.094011
AF004,YAUN C0. INC.,240 CHESTNUT STREET,LIBERTY,NY,12754,,845-292-6400,www.yaunco.com,41.79796,-74.738419
AFN001,FAIRFIELD PLUMBING,146 KINGS HIGHWAY,FAIRFIELD,CT,6430,,203-336-1826,,41.141208,-73.263726
AFO001,FALCONE & TRUMAN PLUMBING SA,520B BABBOTT DR.,BROOMAL,PA,19008,,610-328-6914,,39.974438,-75.359091
AFQ001,FUTURE PLUMBING SUPPLY,100-10 LIBERTY AVENUE,OZONE PARK,NY,11417,,718-738-0900,,40.676341,-73.844504
AFZ001,FEDERAL CORPORATION,102 E. MAIN ST,OKLAHOMA CITY,OK,73126,DWRAY@FEDERALCORP.COM,800-289-3331,,35.468494,-97.521264
AG001,PLUMB SUPPLY COMPANY,1729 WEST BROADWAY,COLUMBIA,MO,65203,,573-445-4481,www.riback.com,38.917169,-92.380274
AG002,PLUMB SUPPLY COMPANY, 924 HWY 42,OSAGE BEACH,MO,65065,,573-348-2253,www.riback.com,38.133702,-92.667588
AG003,PLUMB SUPPLY COMPANY,205 E 8TH STREET,WASHINGTON,MO,63090,,636-239-1969,www.riback.com,38.53196,-91.029622
AG004,PLUMB SUPPLY COMPANY,2115 INDUSTRIAL AVENUE,JEFFERSON CITY,MO,65109-0976,,573-636-0401,www.riback.com,38.56984,-92.259232
AG005,PLUMB SUPPLY COMPANY,2027 CHRISTY DRIVE,JEFFERSON CITY,MO,65101,,573-634-4515,www.riback.com,38.515439,-92.147722
AG006,PLUMB SUPPLY COMPANY,2412 BUSINESS LOOP 70 EAST,COLUMBIA,MO,65201,,573-875-3131,www.riback.com,38.917024,-92.269576
AG007,PLUMB SUPPLY COMPANY,203 SOUTH MAIN,LAURIE,MO,65037,,573-374-8899,www.riback.com,38.233744,-92.843279
AG008,PLUMB SUPPLY COMPANY,622 E LIBERTY,MEXICO,MO,65265,,573-581-6842,www.riback.com,39.186525,-91.881761
AGC001,FAST APPLIANCE,2288 ROCKCREEK TRAIL,BIRMINGHAM,AL,35226,,205-823-3290,,33.399598,-86.837834
AGD001,THE FIXTURE GALLERY,3024 SW US 40 HWY,Blue Springs,MO,64015,,816-228-9875,,39.020417,-94.298525
AGF001,FOOTHILL PIPE & SUPPLY,5631 AUBURN BLVD.,Sacramento,CA,95841,,916-348-3300,,38.662263,-121.346136
AGU001,FAUCETS N' FIXTURES,1770  HIGHWAY 395 #D,MINDEN,NV,89423,,775-782-7844,www.faucetsnfixtures.com,39.01023,-119.74138
AGV001,FAUCETS N' FIXTURES,343 A   S.TUSTIN STREET,ORANGE,CA,92866,joel@faucetsnfixtures.com,714-639-9234,www.faucetsnfixtures.com,33.78443,-117.844947
AGV002,THE FAUCET FACTORY,523 ENCINITAS BLVD STE 110,ENCINITAS,CA,92024,betsey@faucetsnfixtures.com,760-436-0088,www.faucetsnfixtures.com,33.056527,-117.264885
AGW001,FAUCETS & FIXTURES,478 NORTH MAIN STREET,KALISPELL,MT,59901,,406-752-2602,www.faucetsnfixtures.com,48.219264,-114.145101
AGX001,FAZ & ASSOCIATES,315 ADAMS RANCH RD. #2-2B,TELLURIDE,CO,81435,faz@smfloor.com,970-728-6463,,37.937455,-107.864032
AHB001,THE FIXTURE EXCHANGE,9525 U.S. HIGHWAY 98 WEST,DESTIN,FL,32550,linda@thefixtureexchange.com,850-654-8883,,30.383483,-86.34912
AHC001,FIXTURES ETC,100 NORTH BROADWAY,SALEM,NH,3079,info@fixturesetc.com,603-893-6777,,42.788423,-71.200893
AHD001,AS CANADA ULC,255 HUTCHINGS ST.,WINNEPEG MANITOBA,CD,R2X 2R4,,1-615-873-2410,,43.589551,-85.313589
AHE001,FORT WORTH PLBG. SUPPLY,4100 E. LOOP 820 S.,Fort Worth,TX,76119,patc1951@sbcglobal.net,817-429-1030,,32.689902,-97.263934
AHF001,FOSTER'S,1004 HILLSDIE ROAD,LAREDO,TX,78041,dodettef@hotmail.com,956-723-3653,,27.774177,-99.419655
AHG001,FLEETWOOD KITCHENS,20 ROUTE 206,RARITAN,NJ,8869,info@fleetwoodkitchens.com,908-722-0126,,40.569547,-74.632936
AHI001,FOCAL POINT PLUMBING,1950 CONEY ISLAND AVENUE,BROOKLYN,NY,11223,,718-336-6900,,40.597805,-73.972307
AHJ001,FLOWERS & COPELAND INC. SA,2909 LANGFORD RD.BLDG A STE800,NORCROSS,GA,30071,,770-446-0024,,33.938952,-84.206193
AHK001,FINISHING TOUCHES,18 WEST CARVER STREET,HUNTINGTON,NY,11743,,631-351-5959,,40.871218,-73.415539
AHL001,FLAMELESS SPECIALTIES INC.,309 INDUSTRIAL PARK ROAD,Farmville,VA,23901,flameless@embarqmail.com,804-392-1712,,37.314717,-78.410087
AHM001,FINLANDIA SAUNA OF CA.,10322 TRASK AVE. UNIT B,GARDEN GROVE,CA,92843,,800-972-8627,,33.764656,-117.932624
AHN001,FLADER PLBG.,3004 CENTRAL AVE.,EVANSTON,IL,60201,,847-491-6980,,42.056732,-87.699329
AHP001,FRIDAY APPLIANCE,1906  E. 18TH ST.,TUCSON,AZ,85719,,520-623-5741,,32.243578,-110.948923
AHQ001,FROM'S SUPPLY,1501 E 2ND ST,ICHIGAN CITY,IN,46360,,219-879-4491,,41.698043,-86.880933
AHT001,FARGO NW PIPE,1441 4TH AVE. NORTH,FARGO,ND,58102,,701-237-0055,,46.909873,-96.816575
AHU001,FARREY'S WHOLESALE HARDWARE,1850 NE 146TH STREET,NORTH MIAMI,FL,33181,,305-947-5451,www.farreys.com,25.898033,-80.158184
AHU002,FARREY'S WHOLESALE HARDWARE,3000 SW 28TH LANE,COCONUT GROVE,FL,33133,carlos.rodriguez@farreys.com,305-445-2244,,25.731554,-80.243005
AHW001,FRANK SUPPLY,230 SHERIDAN BLVD.,INWOOD,NY,11096,,516-371-3100,,40.618432,-73.747041
AHX001,FRANK BONETTI PLUMBING SA,20878 RUTLEDGE ROAD,CASTRO VALLEY,CA,94546,,510-582-0934,www.frankplumbingsup.com,37.718472,-122.084844
AHY001,FREDRICK A. HARTEL & CO. INC.,161 SMITH ST,POUGHKEEPSIE,NY,12602,,845-452-0220,,41.700298,-73.921402
AI001,W.A. BRAGG,3483 OLD PETERSBURG RD.,MARTINEZ,GA,30907,dlindsey@knology.net,706-860-9790,,33.517052,-82.091756
AI002,W.A. BRAGG,401 SOUTH MAIN STREET,STATESBORO,GA,30459,dlindsey@knology.net,912-764-9833,,32.45005,-81.785684
AI003,W.A. BRAGG,535 OLYMPIC DRIVE,ATHENS,GA,30601,wabragg@aol.com,706-543-7676,,33.986967,-83.354625
AI004,W.A. BRAGG,4 CALDWELL COURT,AIKEN,SC,29801,dabragg101@comcast.net,803-642-6000,,33.577885,-81.709887
AI005,W.A. BRAGG,2513 MIKE PADGETT HWY,AUGUSTA,GA,30906,wabragg@aol.com,706-798-8257,,33.390902,-82.023148
AIA001,FLICK SUPPLY,2600 69TH AVENUE,Moline,IL,61265,,309-762-9400,,41.486327,-90.49526
AIB001,FLAMINGO RESORT HOTEL & SPA,67221 PIERSON BLVD.,Desert Hot Springs,CA,92240,,800-438-4379,,33.945824,-116.526768
AID001,G & l PLUMING INC  SA,122 GREEN STREET,WORCESTER,MA,1605,,508-852-3099,,42.262593,-71.802293
AIE001,G.T. ROWE CO.,10618 WIDMER ST.,LENEXA,KS,66215,,913-345-1297,,38.956982,-94.741776
AIJ001,INTERSTATE PLUMBING,1506 GLENDALE AVENUE,SPARKS,NV,89431,,702-355-1017,,39.542216,-119.753138
AIK001,GARDEN CITY PLUMBING,4025 FLYNN LANE,MISSOULA,MT,59808,,406-728-5550,,46.952507,-114.098
AIM001,GARFIELD KITCHENS & BATHS INC,266 5TH AVENUE,BROOKLYN,NY,11215,,718-783-2800,,40.666202,-73.982561
